date,Kragujevac,Tallinn
13-09-20,20.23489583,12.43177083
14-09-20,17.7203125,11.33854167
15-09-20,21.134375,12.8703125
16-09-20,21.18177083,13.00677083
17-09-20,18.71145833,11.69791667
18-09-20,18.05104167,11.57447917
19-09-20,12.95260417,11.99895833
20-09-20,11.93385417,9.951041667
21-09-20,12.40885417,9.522916667
22-09-20,14.8484375,9.891666667
23-09-20,14.5125,10.196875
24-09-20,14.4703125,9.847395833
25-09-20,15.09010417,11.503125
26-09-20,14.19739583,11.48125
27-09-20,14.42760417,11.91510417
28-09-20,13.66927083,11.0015625
29-09-20,10.6953125,13.06822917
30-09-20,14.80885417,10.24791667
01-10-20,14.35520833,10.47864583
02-10-20,14.43177083,11.27239583
03-10-20,13.17864583,11.37291667
04-10-20,13.15052083,11.2234375
05-10-20,10.84427083,10.69791667
06-10-20,13.98072917,8.0140625
07-10-20,13.87552083,8.046354167
08-10-20,16.746875,6.961458333
09-10-20,17.20729167,6.869791667
10-10-20,16.96979167,6.053645833
11-10-20,17.69166667,7.3953125
12-10-20,18.275,6.469270833
13-10-20,19.50416667,5.172916667
14-10-20,19.240625,3.394791667
15-10-20,16.78385417,7.458854167
16-10-20,19.1765625,9.606770833
17-10-20,14.56927083,7.444270833
18-10-20,12.47916667,9.227083333
19-10-20,15.03385417,12.19739583
20-10-20,15.53385417,10.309375
21-10-20,9.021875,10.4953125
22-10-20,6.186458333,6.66875
23-10-20,7.353125,4.691666667
24-10-20,6.1625,6.415625
25-10-20,4.731770833,1.860416667
26-10-20,3.865104167,-0.8390625
27-10-20,2.653645833,-3.1390625
28-10-20,6.146875,-2.022395833
29-10-20,5.076041667,-0.290625
30-10-20,8.4046875,-1.633333333
31-10-20,17.13489583,8.8328125
01-11-20,18.24479167,4.6359375
02-11-20,17.86041667,3.00625
03-11-20,14.73541667,6.072395833
04-11-20,13.11354167,5.720833333
05-11-20,10.9046875,6.278125
06-11-20,12.32552083,2.666145833
07-11-20,8.734375,-0.2765625
08-11-20,6.922916667,0.291145833
09-11-20,8.502604167,4.8546875
10-11-20,9.9015625,7.996875
11-11-20,10.57708333,8.908854167
12-11-20,8.755208333,8.139583333
13-11-20,10.8546875,6.228125
14-11-20,8.011458333,5.4609375
15-11-20,1.313020833,6.458333333
16-11-20,8.067708333,5.2828125
17-11-20,8.070833333,0.190625
18-11-20,7.602604167,1.422395833
19-11-20,7.16875,0.659895833
